#Frame      RoG_00001 RoG_00001[Max]
       1      16.9134        26.1597
       2      16.8901        26.6513
       3      16.9603        26.5822
       4      16.9522        26.7517
       5      17.0519        27.1367
       6      17.0745        27.2060
       7      17.0044        26.3750
       8      17.0405        26.6769
       9      16.9873        27.0961
      10      17.0983        27.2173
      11      17.1706        27.3791
      12      16.9224        27.1244
      13      17.0170        27.1610
      14      16.9930        26.8946
      15      17.0727        26.8286
      16      17.1326        26.9163
      17      17.1589        26.9231
      18      17.1338        26.9224
      19      17.1185        26.7334
      20      17.0450        27.5180
      21      16.9795        27.7615
      22      16.9815        27.2204
      23      17.0104        27.4428
      24      16.9958        27.5851
      25      17.0283        27.2959
      26      16.9075        27.0918
      27      16.9627        27.6394
      28      16.9297        27.2317
      29      17.0110        27.8017
      30      17.0552        27.2259
      31      17.0699        27.2372
      32      17.0593        27.2790
      33      17.0494        27.3812
      34      16.9459        26.8685
      35      16.9779        27.2914
      36      17.0127        26.7440
      37      16.9852        26.4281
      38      17.0146        26.6855
      39      16.9721        26.7365
      40      16.9566        27.0568
      41      17.0411        27.5784
      42      16.9976        27.4382
      43      17.0521        27.3272
      44      16.9496        27.5689
      45      16.8573        27.0454
      46      16.9263        27.0960
      47      16.9145        26.3874
      48      16.9449        26.7711
      49      16.9820        27.0675
      50      17.0146        27.1304
      51      17.0306        26.9416
      52      17.0400        27.6881
      53      17.1287        27.1416
      54      17.1012        27.1898
      55      16.9764        26.9132
      56      17.0766        27.5946
      57      17.0931        26.9384
      58      16.9620        27.1098
      59      16.9539        27.2769
      60      17.0964        27.1967
      61      17.1545        27.5256
      62      17.1613        27.3314
      63      17.2494        27.3977
      64      17.0862        27.4229
      65      16.9916        27.1291
      66      17.0613        26.9616
      67      16.9418        26.8652
      68      16.9912        27.6059
      69      17.1375        27.7611
      70      17.0612        27.1190
      71      17.0082        27.7457
      72      17.0540        27.3125
      73      17.0028        27.4881
      74      17.0491        27.4209
      75      17.0357        27.1761
      76      17.0414        26.8893
      77      17.0112        26.9603
      78      17.0207        27.2140
      79      16.9242        27.2510
      80      16.9730        27.5296
      81      17.1138        27.2863
      82      17.0839        27.1086
      83      17.0144        26.9528
      84      17.0023        27.6928
      85      17.0218        27.4453
      86      17.0507        27.4503
      87      16.9673        28.4763
      88      16.9470        27.8481
      89      17.0166        27.7164
      90      17.0271        27.6753
      91      17.0034        27.1067
      92      16.9934        27.7662
      93      17.0628        27.2202
      94      16.9496        26.6322
      95      16.9960        26.8670
      96      16.9936        26.8695
      97      17.0185        26.6742
      98      16.9865        27.4381
      99      16.9061        27.0869
     100      16.9415        26.8523
     101      16.8554        27.2949
     102      16.9469        27.3645
     103      17.0419        27.3574
     104      17.0408        27.8146
     105      16.9946        27.2813
     106      17.0891        27.3205
     107      16.9374        26.9594
     108      16.9436        26.7340
     109      17.0671        27.6517
     110      17.0252        27.5004
     111      16.9952        27.0765
     112      17.0774        27.5833
     113      17.0180        26.9540
     114      16.8785        26.6692
     115      16.8888        26.8763
     116      16.9431        27.3148
     117      16.8560        26.6761
     118      16.7627        26.6344
     119      16.9013        26.4918
     120      16.8691        26.5313
     121      16.9607        26.8105
     122      16.9368        27.2135
     123      16.9728        27.0891
     124      16.9011        27.0235
     125      16.8830        27.5778
     126      16.9478        27.5295
     127      16.9345        27.4328
     128      16.9991        27.8851
     129      17.0048        27.7475
     130      16.9350        27.0049
     131      16.9466        26.5956
     132      16.9130        26.9814
     133      16.9726        26.9163
     134      16.8943        27.0501
     135      16.9665        26.9252
     136      16.9781        27.3629
     137      16.9863        27.7144
     138      16.9818        27.8821
     139      16.9701        27.5834
     140      16.9503        27.6739
     141      16.9305        27.8132
     142      16.9794        27.6260
     143      16.8892        27.8129
     144      16.9617        27.9299
     145      16.9192        27.7258
     146      16.9534        28.6777
     147      16.9168        28.0372
     148      16.9782        27.5453
     149      17.0175        27.5629
     150      16.9505        27.8510
     151      16.9778        28.3344
     152      16.9689        28.0717
     153      16.9076        28.2097
     154      16.8873        28.2482
     155      16.9668        27.8066
     156      16.8936        28.6283
     157      16.9050        28.8502
     158      17.0068        28.6025
     159      16.9171        28.5492
     160      16.9178        28.2939
     161      16.9049        27.6166
     162      16.9213        27.7606
     163      16.9448        27.2215
     164      16.9782        27.5106
     165      16.9071        27.2182
     166      16.9461        27.6119
     167      16.9998        27.5167
     168      16.9796        28.2825
     169      16.9906        28.1359
     170      17.0172        28.6317
     171      16.9894        27.9833
     172      16.9880        28.1081
     173      16.9349        28.0696
     174      17.1052        28.3338
     175      16.9898        28.6156
     176      17.0308        27.9724
     177      17.0419        27.8438
     178      17.0782        27.8584
     179      17.1016        28.3307
     180      17.1267        28.2056
     181      17.2219        28.2157
     182      17.1526        27.9932
     183      17.0326        27.8712
     184      17.1030        27.3895
     185      17.1133        27.2548
     186      17.1077        27.8710
     187      17.1384        28.6671
     188      17.1142        27.5548
     189      17.1266        28.0762
     190      17.1150        28.4581
     191      17.1833        28.0313
     192      17.2209        28.1810
     193      17.1979        28.5867
     194      17.1664        27.7615
     195      17.2647        27.9715
     196      17.1742        27.3976
     197      17.1684        28.4563
     198      17.1371        28.3062
     199      17.1920        28.0296
     200      17.1182        27.9079
     201      17.0888        27.8777
     202      17.1887        28.6651
     203      17.1939        27.8827
     204      17.2076        28.4745
     205      17.1229        28.6159
     206      17.1066        28.0992
     207      17.1176        28.4947
     208      17.1631        29.0399
     209      17.1943        28.8460
     210      17.1704        28.8189
     211      17.1310        29.0448
     212      17.2319        29.3916
     213      17.0484        29.9474
     214      17.1382        29.2281
     215      17.0444        29.0400
     216      17.0959        29.1430
